1	3	4
1	10	5
1	13	2
1	5	2
1	15	3
2	18	5
2	19	2
2	11	1
2	6	1
2	17	3
3	16	5
3	7	5
3	15	2
3	12	1
3	18	2
4	10	4
4	11	2
4	17	1
4	2	2
4	7	1
5	14	5
5	1	4
5	13	5
5	7	3
5	8	5
6	9	2
6	20	3
6	4	1
6	2	2
6	19	1
7	7	3
7	10	3
7	3	2
7	12	5
7	5	5
8	13	1
8	7	3
8	4	3
8	10	4
8	0	5
9	13	2
9	2	2
9	4	4
9	19	4
9	18	2
10	4	5
10	15	4
10	0	2
10	18	4
10	6	2
11	17	3
11	14	3
11	10	1
11	4	1
11	1	5
12	3	3
12	10	3
12	11	3
12	7	4
12	8	4
13	20	1
13	17	4
13	14	4
13	12	5
13	11	2
14	7	1
14	15	1
14	5	1
14	10	4
14	0	1
15	18	5
15	6	2
15	10	2
15	7	5
15	19	5
16	5	4
16	6	5
16	12	4
16	19	4
16	9	3
17	20	3
17	13	3
17	12	3
17	19	2
17	4	1
18	8	2
18	17	1
18	14	5
18	15	3
18	9	1
19	19	1
19	16	3
19	1	4
19	20	2
19	5	4
20	0	3
20	2	4
20	6	5
20	19	1
20	16	3
21	15	1
21	0	5
21	19	2
21	11	2
21	7	5
22	19	5
22	16	5
22	10	4
22	15	4
22	2	2
23	18	5
23	9	4
23	5	1
23	3	5
23	8	1
24	7	4
24	20	1
24	1	2
24	19	4
24	14	2
25	12	5
25	5	1
25	6	4
25	8	3
25	16	2
26	1	1
26	16	3
26	14	4
26	8	2
26	5	5
27	12	1
27	9	5
27	15	4
27	5	5
27	17	3
28	14	4
28	7	2
28	11	2
28	2	1
28	18	4
29	6	1
29	4	3
29	8	4
29	19	5
29	20	3
30	13	2
30	4	4
30	10	4
30	18	2
30	6	3
31	8	2
31	9	1
31	16	2
31	12	5
31	19	4
32	15	4
32	8	1
32	5	3
32	7	3
32	6	5
33	19	4
33	8	3
33	4	4
33	12	2
33	16	3
34	6	2
34	8	1
34	7	4
34	18	4
34	13	3
35	9	1
35	15	2
35	18	2
35	6	2
35	19	1
36	7	3
36	13	4
36	17	1
36	12	3
36	18	5
37	20	4
37	17	2
37	7	5
37	5	4
37	14	4
38	7	1
38	15	4
38	5	2
38	18	2
38	1	1
39	14	3
39	3	5
39	8	1
39	11	3
39	18	4
40	2	4
40	5	2
40	14	3
40	8	3
40	15	1
41	5	1
41	16	5
41	12	3
41	2	2
41	18	1
42	1	5
42	20	4
42	5	3
42	18	2
42	11	5
43	11	3
43	9	5
43	8	5
43	6	1
43	16	1
44	14	1
44	15	1
44	6	4
44	10	1
44	1	4
45	2	1
45	10	3
45	16	3
45	15	1
